area,lat,lon,bedrooms,bathrooms,legal,interior,project_name,project_name_raw,price
70.0,10.81167944,106.6695122,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,7.269256086799729,Novaland,6.0
80.0,10.73323795,106.7055262,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,6.501183490566007,Sky Garden,6.6
70.0,10.97575625,106.6720438,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,2.75
35.0,10.7747411727905,106.674629211426,1.0,1.0,Giấy tờ khác,Nhà trống,6.475706723195885,Other_Quận 10,1.88
71.3,16.01819937,108.2304266,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,4.868
60.0,20.99841134,105.860171,2.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,3.5
59.0,12.2739796,109.2027224,2.0,2.0,Giấy tờ khác,Cơ bản,5.605951661736071,Other_Unknown,3.29
70.0,10.80098489,106.7382588,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,7.934702233436095,Masteri Thảo Điền,7.5
129.0,10.71715977,106.7047242,3.0,3.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.013901071348274,Other_Nhà Bè,5.0
85.0,10.70392576,106.7132234,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.013901071348274,Other_Nhà Bè,6.0
50.9,12.20466439,109.1751082,1.0,1.0,Giấy tờ khác,Thỏa thuận,5.605951661736071,Other_Unknown,2.608
86.0,20.98652464,105.7885397,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,5.65
140.0,10.80495672,106.7445992,3.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,21.0
82.4,21.03663429,105.9318471,3.0,2.0,Hợp đồng mua bán,Nhà trống,7.097203652429688,Other_Long Biên,5.834
65.0,10.89031688,106.7031897,2.0,2.0,Hợp đồng mua bán,Nhà trống,7.529605631284914,Other_Quận 2,3.28
72.0,13.77733789,109.236608,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,2.05
60.0,10.81445933,106.727885,1.0,1.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,6.9
74.0,10.73917857,106.7003315,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,6.696233252486732,Sunrise City,7.0
57.0,10.69975338,106.6256659,2.0,2.0,Hợp đồng mua bán,Cơ bản,4.664818938858093,Him Lam,1.39
141.6,21.0310163,105.7789594,4.0,3.0,Sổ hồng/Sổ đỏ,Đầy đủ,11.194475743383725,Ngoại Giao Đoàn,9.97
68.0,10.9350843,106.7631305,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,4.817031500226393,Other_Tân Bình,2.6996
67.66,10.93462176,106.7641425,2.0,2.0,Giấy tờ khác,Nhà trống,4.817031500226393,Other_Tân Bình,2.7064
46.0,20.98563132,105.7803931,1.0,1.0,Hợp đồng mua bán,Nhà trống,5.93114323308883,Other_Hà Đông,4.8
72.0,10.87904263,106.6991577,2.0,2.0,Giấy tờ khác,Cơ bản,5.605951661736071,Other_Unknown,3.05
76.0,21.06322659,105.784351,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,8.2
55.0,10.69381255,106.6093153,2.0,2.0,Hợp đồng mua bán,Nhà trống,3.04045792808305,Other_Bình Chánh,0.95
50.0,10.87814239,106.6995026,2.0,1.0,Hợp đồng mua bán,Nhà trống,4.486523607843137,Other_Thủ Đức,1.89
76.0,10.92677493,106.7114398,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,3.35
71.8,21.59497266,105.8298276,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,3.3
145.0,10.81650367,106.7306829,3.0,3.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,19.0
54.0,20.9533684,107.0021215,1.0,1.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,2.75
65.62,10.90308363,106.831651,2.0,2.0,Hợp đồng mua bán,Nhà trống,4.486523607843137,Other_Thủ Đức,2.28
150.0,10.72318365,106.7140996,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.521302912621359,Other_Quận 7,16.0
44.0,21.31277066,105.6235146,1.0,1.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,1.7
88.0,21.00928551,105.7735996,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,10.0
59.0,10.68638161,106.5854391,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,3.04045792808305,Other_Bình Chánh,2.62
65.0,10.71407746,106.737781,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,7.470223405010899,Other_Quận 1,4.75
72.0,20.9975872,105.803833,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,8.55311046406356,Other_Thanh Xuân,7.056
90.0,10.71033974,106.6432369,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,3.0
163.0,10.72943942,106.7232636,4.0,4.0,Hợp đồng mua bán,Nhà trống,5.46690909096685,Other_Tân Phú,8.5
68.0,10.79361697,106.7114943,1.0,1.0,Giấy tờ khác,Nhà trống,8.915050198721868,City Garden,7.69
30.2,20.95881432,105.9693969,1.0,1.0,Hợp đồng mua bán,Đầy đủ,5.605951661736071,Other_Unknown,1.95
70.0,21.02948864,105.7790688,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,5.4
47.0,10.8808169490885,106.747114770513,2.0,1.0,Hợp đồng mua bán,Cơ bản,5.605951661736071,Other_Unknown,0.817
38.2,20.94242717,105.9202768,1.0,1.0,Sổ hồng/Sổ đỏ,Nhà trống,5.705608856147868,Ecopark,2.7
160.0,21.02883118,105.8257521,3.0,3.0,Sổ hồng/Sổ đỏ,Đầy đủ,10.645595835632967,Other_Ba Đình,29.5
98.0,10.79778218,106.6719896,3.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,7.6
74.0,20.84872505,106.7095196,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,2.98
59.6,20.94125494,105.956398,2.0,2.0,Hợp đồng mua bán,Thỏa thuận,5.605951661736071,Other_Unknown,4.5
40.0,10.7446713,106.6958132,1.0,1.0,Hợp đồng mua bán,Thỏa thuận,6.696233252486732,Sunrise City,2.6
60.0,10.73417282,106.653595,2.0,1.0,Hợp đồng mua bán,Thỏa thuận,4.667533878158416,The Pegasuite,3.8
73.0,20.97284132,105.7998388,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.114747142861651,Other_Thanh Trì,3.8
97.0,10.6997144539076,106.730517114171,3.0,2.0,Hợp đồng mua bán,Cơ bản,6.521302912621359,Other_Quận 7,3.43
