area,lat,lon,legal,direction,front_width,access_road,geo_cluster,land_depth,shape_ratio,business_potential,dist_to_center,road_type,price
80.0,16.0812475282056,108.244602480682,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.5,71,15.686274509803923,3.075740099961554,27.5,5.425842554445727,1,11.7
256.0,10.6787562716274,106.855935725927,Giấy tờ khác,Chưa xác định,9.0,2.5,67,28.13186813186813,3.0914140804250696,22.5,20.107978787208555,0,2.72
120.0,16.0954066584075,108.244991594136,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,2.5,71,23.529411764705884,4.61361014994233,12.5,6.457232279703173,0,9.5
192.0,10.818703117982754,106.78105745604348,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,12.0,4,15.867768595041323,1.3113858343009357,144.0,10.419371493767333,2,19.5
119.0,10.680091316526347,106.74000154271668,Hợp đồng mua bán,Tây Nam,7.0,14.0,39,16.760563380281692,2.36064272961714,98.0,11.199476145974103,2,3.332
114.0,10.876759204994354,106.8578292354195,Sổ hồng/Sổ đỏ,Đông Nam,6.0,21.0,93,18.688524590163937,3.0636925557645798,126.0,9.117727426562062,2,4.25
75.0,12.296766838935516,109.20786073915733,Hợp đồng mua bán,Bắc,5.0,13.0,74,14.705882352941178,2.8835063437139565,65.0,6.558703169943484,2,5.55
96.0,21.0366786671544,105.899346806109,Sổ hồng/Sổ đỏ,Chưa xác định,5.2,7.0,77,18.11320754716981,3.4175863296546813,36.4,4.77307763274852,2,17.0
132.0,15.2067293378099,108.78999282437,Sổ hồng/Sổ đỏ,Đông Nam,6.0,13.5,21,21.639344262295083,3.547433485622145,81.0,113.34015041002797,2,1.265
378.0,10.79316839819499,106.78641287360664,Sổ hồng/Sổ đỏ,Đông Nam,6.0,12.0,4,61.9672131147541,10.15855952700887,72.0,9.90572558761908,2,24.5
110.0,16.0200273412213,108.256090604298,Sổ hồng/Sổ đỏ,Tây,5.0,7.5,3,21.568627450980394,4.229142637447136,37.5,6.912021020382493,2,8.0
80.0,10.8074844,106.7983557,Sổ hồng/Sổ đỏ,Đông Nam,9.0,9.0,4,8.791208791208792,0.9660669001328344,81.0,11.615663829922628,2,4.5
125.0,10.707445223130788,106.70627116390644,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,39,24.50980392156863,4.805843906189928,60.0,7.241832135826465,2,9.99
70.0,10.7858097324879,106.77711429506,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,8.0,4,13.725490196078432,2.6912725874663597,40.0,8.74305102290926,2,7.9
140.0,10.9291551040853,108.116265240897,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,15,22.95081967213115,3.7624294544477297,15.0,10.188313333600936,0,14.0
