area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_car_accessible,is_corner,price
128.0,10.7935826,106.7328065,Giấy tờ khác,Chưa xác định,8.0,8.0,4,4.0,4.0,Nhà trống,1,0,22.0
60.0,10.78420257,106.7597343,Sổ hồng/Sổ đỏ,Chưa xác định,16.0,10.0,4,3.0,5.0,Đầy đủ,1,1,9.5
116.4,10.79754477,106.680883,Sổ hồng/Sổ đỏ,Chưa xác định,3.7,3.7,3,5.0,5.0,Đầy đủ,0,1,27.5
50.7,10.84567372,106.7260688,Sổ hồng/Sổ đỏ,Đông,4.22,7.0,5,5.0,6.0,Đầy đủ,1,0,8.5
65.0,10.87871926,106.7241723,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,8.0,4,4.0,4.0,Đầy đủ,1,0,5.6
85.0,10.74038617,106.7360251,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,9.0,2,4.0,4.0,Nhà trống,1,0,9.0
100.0,10.70142449,106.7301352,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,4,6.0,6.0,Đầy đủ,1,0,16.8
168.8,10.90309539,106.6338104,Giấy tờ khác,Chưa xác định,4.9,2.5,2,6.0,4.0,Cơ bản,0,0,7.8
300.0,10.76083616,106.5959858,Sổ hồng/Sổ đỏ,Chưa xác định,15.0,12.0,5,4.0,4.0,Đầy đủ,1,0,48.9
302.0,10.71297222,106.7331584,Sổ hồng/Sổ đỏ,Chưa xác định,14.5,21.0,5,4.0,4.0,Đầy đủ,1,1,50.0
90.0,10.78990617,106.6901411,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,30.0,6,5.0,5.0,Đầy đủ,1,1,39.0
64.0,10.76612753,106.606578,Sổ hồng/Sổ đỏ,Đông,4.0,10.0,5,8.0,8.0,Đầy đủ,1,0,8.7
39.0,10.84696435,106.746825,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,1,1.0,1.0,Thỏa thuận,1,0,4.85
72.0,10.78317306,106.6474219,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,18.0,2,2.0,2.0,Thỏa thuận,1,0,6.9
62.0,10.88087084,106.76348,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,2,3.0,3.0,Thỏa thuận,1,0,5.3
50.0,10.8062523,106.6030662,Sổ hồng/Sổ đỏ,Tây,4.0,8.0,4,4.0,4.0,Đầy đủ,1,0,7.8
40.0,10.7440072,106.643269,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,2,4.0,4.0,Đầy đủ,1,0,4.45
208.0,10.80615517,106.6971418,Sổ hồng/Sổ đỏ,Chưa xác định,9.82,8.0,4,4.0,4.0,Nhà trống,1,0,30.0
64.0,10.80579421,106.6050525,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,5.0,1,4.0,4.0,Thỏa thuận,1,0,5.9
66.0,10.76400128,106.6559686,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,6.0,1,4.0,4.0,Thỏa thuận,1,0,7.9
315.0,10.79351986,106.6445096,Giấy tờ khác,Chưa xác định,9.0,2.5,3,4.0,4.0,Thỏa thuận,0,1,65.0
90.0,10.84867234,106.7840038,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,10.0,2,4.0,3.0,Đầy đủ,1,0,10.2
114.0,10.84072057,106.6234411,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,3.0,3,4.0,4.0,Đầy đủ,0,0,6.3
72.0,10.84479755,106.6781147,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,2.5,5,4.0,5.0,Thỏa thuận,0,0,13.5
