area,lat,lon,legal,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
43.0,20.9950716023537,105.856804918494,Sổ hồng/Sổ đỏ,4.5,2.5,5,5,4,Nhà trống,0,0,8.808
30.0,20.9754504723568,105.789367872868,Sổ hồng/Sổ đỏ,3.3,9.0,5,3,4,Đầy đủ,0,2,8.0
67.0,20.9892049786825,105.871831465658,Sổ hồng/Sổ đỏ,4.5,2.5,3,4,4,Thỏa thuận,0,0,15.0
43.0,20.9438413496322,105.854790266744,Sổ hồng/Sổ đỏ,4.0,3.5,3,3,2,Nhà trống,0,1,6.18
40.0,20.9849192350038,105.784273373425,Sổ hồng/Sổ đỏ,3.8,2.5,5,4,3,Cơ bản,0,0,9.9
59.0,21.0665510144297,105.891801690914,Sổ hồng/Sổ đỏ,3.5,3.0,5,6,4,Đầy đủ,1,0,10.5
55.0,21.0464879028506,105.799079315636,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,5,Cơ bản,0,0,26.8
152.0,21.319584530858485,105.86931997910142,Sổ hồng/Sổ đỏ,12.0,20.0,1,2,2,Cơ bản,1,2,7.0
70.0,21.0032551287908,105.865405943835,Sổ hồng/Sổ đỏ,4.5,5.0,4,4,4,Đầy đủ,0,1,25.8
35.0,21.0324774167422,105.809065095743,Sổ hồng/Sổ đỏ,6.3,2.5,7,4,4,Nhà trống,0,0,10.2
65.0,21.0002291412681,105.82840743003,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,1,0,18.0
105.0,21.0421727797382,105.817926256902,Sổ hồng/Sổ đỏ,8.0,5.0,5,8,7,Cơ bản,0,1,33.0
90.0,21.0465506829231,105.871930243447,Sổ hồng/Sổ đỏ,4.2,2.5,4,6,4,Đầy đủ,0,0,13.0
76.0,20.9228071637727,105.857504500736,Sổ hồng/Sổ đỏ,4.9,2.0,2,3,2,Đầy đủ,0,0,6.8
73.0,21.0198005871391,105.824008000744,Sổ hồng/Sổ đỏ,4.6,15.0,3,4,3,Đầy đủ,1,2,28.0
115.0,20.9980985273424,105.850374634622,Sổ hồng/Sổ đỏ,4.2,2.5,7,8,8,Đầy đủ,0,0,72.0
49.0,21.0319847857002,105.799955422281,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,1,Đầy đủ,1,0,11.3
70.0,20.9823020366432,105.76935467269,Sổ hồng/Sổ đỏ,4.5,2.5,4,4,5,Đầy đủ,0,0,12.5
113.0,21.0320554037333,105.836878704849,Sổ hồng/Sổ đỏ,11.0,2.5,5,4,4,Thỏa thuận,0,0,90.0
75.0,21.0024423696154,105.829816688046,Sổ hồng/Sổ đỏ,5.0,5.0,7,9,9,Thỏa thuận,1,1,32.5
37.0,20.9706539958986,105.778098892922,Sổ hồng/Sổ đỏ,5.0,3.0,2,2,2,Nhà trống,0,0,6.9
320.0,21.0251629,105.8547173,Sổ hồng/Sổ đỏ,6.6,2.5,5,4,4,Nhà trống,0,0,20.0
35.0,20.9784699248484,105.736709296803,Sổ hồng/Sổ đỏ,3.6,2.5,5,3,4,Nhà trống,0,0,5.2
65.0,20.9845162462357,105.784752682332,Giấy tờ khác,4.5,2.5,5,4,4,Nhà trống,1,0,22.9
40.0,21.0653472409564,105.824636029427,Sổ hồng/Sổ đỏ,4.5,2.3,6,12,12,Đầy đủ,0,0,14.8
100.0,21.0687894425658,105.729121510851,Sổ hồng/Sổ đỏ,6.0,2.0,5,3,2,Cơ bản,0,0,2.0
50.0,21.0526159813943,105.898808532662,Giấy tờ khác,6.0,2.0,5,3,4,Đầy đủ,0,0,11.6
80.0,21.0122569281907,105.792837438315,Sổ hồng/Sổ đỏ,10.0,8.0,6,4,4,Nhà trống,1,2,31.0
40.0,21.0172353333587,105.854190358458,Sổ hồng/Sổ đỏ,6.0,4.0,6,4,4,Nhà trống,0,1,16.3
50.0,21.088647630185,105.665487935252,Sổ hồng/Sổ đỏ,5.0,4.0,6,4,5,Đầy đủ,0,1,9.5
40.0,20.9964991964484,105.82612863505,Sổ hồng/Sổ đỏ,3.5,3.0,5,3,4,Đầy đủ,0,0,10.75
40.0,21.0153095332568,105.812876872401,Sổ hồng/Sổ đỏ,3.9,3.0,5,3,4,Đầy đủ,1,0,7.45
52.0,21.0303592251019,105.837132919243,Sổ hồng/Sổ đỏ,4.7,4.7,7,4,4,Nhà trống,0,1,28.8
25.0,20.9870167928197,105.851579395275,Sổ hồng/Sổ đỏ,4.5,2.5,5,3,4,Đầy đủ,0,0,6.2
42.0,20.9661419052213,105.777328684436,Sổ hồng/Sổ đỏ,4.5,10.0,4,2,4,Nhà trống,1,2,12.7
40.0,21.0440151054462,105.810311368727,Sổ hồng/Sổ đỏ,4.5,4.5,5,4,4,Nhà trống,1,1,20.0
45.0,21.0433400496188,105.718526124926,Sổ hồng/Sổ đỏ,6.2,6.0,5,5,4,Nhà trống,0,1,7.39
48.5,21.0463345278407,105.791829964576,Sổ hồng/Sổ đỏ,5.0,2.5,6,4,4,Nhà trống,0,0,17.8
33.0,20.987875449596,105.800446772205,Sổ hồng/Sổ đỏ,4.6,2.0,5,3,4,Đầy đủ,0,0,9.85
44.0,21.0439506891344,105.842929675769,Sổ hồng/Sổ đỏ,4.6,2.5,6,4,4,Đầy đủ,0,0,30.5
50.0,20.9686376758282,105.769399696193,Sổ hồng/Sổ đỏ,6.0,2.5,5,4,4,Đầy đủ,0,0,13.3
50.0,20.9690405722026,105.841802916245,Sổ hồng/Sổ đỏ,4.5,2.5,5,2,4,Đầy đủ,0,0,9.25
30.0,21.0383144024158,105.903221722116,Sổ hồng/Sổ đỏ,5.0,5.0,5,3,4,Đầy đủ,0,1,9.2
58.0,20.9834496639484,105.842905102385,Sổ hồng/Sổ đỏ,4.0,5.0,7,4,4,Nhà trống,0,1,23.6
58.0,21.044247768756,105.799317618172,Sổ hồng/Sổ đỏ,4.0,8.0,5,5,4,Cơ bản,1,2,18.8
202.0,21.0166790821263,105.775026260824,Sổ hồng/Sổ đỏ,8.5,2.5,4,4,4,Đầy đủ,0,0,45.0
60.0,21.0164714413086,105.822714444703,Sổ hồng/Sổ đỏ,4.0,6.0,4,5,5,Cơ bản,0,1,26.0
60.4,21.0687297359263,105.920459536792,Sổ hồng/Sổ đỏ,4.1,2.5,1,1,1,Cơ bản,0,0,5.8
53.7,21.038681171051,105.934675153715,Sổ hồng/Sổ đỏ,6.3,2.5,6,4,3,Đầy đủ,0,0,8.86
40.0,21.1687392200377,105.779425958742,Giấy tờ khác,5.0,2.5,3,3,3,Thỏa thuận,0,0,3.2
60.0,21.0773126204752,105.691350150808,Giấy tờ khác,4.0,9.0,5,6,4,Đầy đủ,0,2,9.6
48.0,21.0267840599908,105.833440937585,Sổ hồng/Sổ đỏ,3.8,10.0,6,10,10,Đầy đủ,0,2,20.0
36.0,21.0195729565407,105.838985587677,Sổ hồng/Sổ đỏ,3.5,2.5,5,3,3,Đầy đủ,0,0,5.1
52.0,21.0507155679691,105.754267316462,Sổ hồng/Sổ đỏ,4.4,4.0,7,4,4,Đầy đủ,0,1,21.6
46.0,21.0264685474052,105.892950363643,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,5,Đầy đủ,0,0,12.49
72.8,21.0107378897561,105.79945148071,Sổ hồng/Sổ đỏ,12.0,12.0,5,5,5,Đầy đủ,0,2,30.0
132.0,21.0658985258958,105.898151423131,Giấy tờ khác,4.5,2.5,5,4,4,Đầy đủ,0,0,45.0
