area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
200.0,10.8621126120485,106.859792463229,Hợp đồng mua bán,Đông Nam,10.0,13.0,3,3,4,Đầy đủ,0,2,12.0
131.0,10.3822453867421,107.138432892511,Sổ hồng/Sổ đỏ,Tây Bắc,5.0,50.0,4,6,6,Thỏa thuận,0,2,22.0
155.0,10.7950429298237,106.694272414805,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,4,5,5,Đầy đủ,1,2,45.0
188.8,20.98451969413645,105.77589385573036,Sổ hồng/Sổ đỏ,Đông Bắc,8.0,40.0,4,5,5,Cơ bản,0,2,46.256
115.0,21.02308379717129,105.94473563003476,Giấy tờ khác,Nam,6.6,15.0,4,5,5,Nhà trống,1,2,21.85
100.0,20.9605797232851,105.791565325096,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,15.0,5,4,6,Cơ bản,0,2,27.3
207.0,20.94932514113137,105.93899854233467,Sổ hồng/Sổ đỏ,Chưa xác định,11.5,13.0,4,4,5,Cơ bản,0,2,38.0
190.0,10.8022330399474,106.777323663659,Hợp đồng mua bán,Chưa xác định,10.0,20.0,5,5,5,Nhà trống,0,2,86.0
300.0,13.099047956416875,109.30589845913975,Sổ hồng/Sổ đỏ,Đông Nam,15.0,32.0,3,4,3,Nhà trống,0,2,25.0
186.0,10.803494930905153,106.8009385568686,Giấy tờ khác,Chưa xác định,10.0,15.0,2,5,5,Nhà trống,0,2,22.0
240.0,10.824323251952162,106.69150107688448,Giấy tờ khác,Chưa xác định,12.0,15.0,3,5,5,Đầy đủ,1,2,39.0
360.0,10.807388730484188,106.8003244866387,Sổ hồng/Sổ đỏ,Đông Nam,12.0,15.0,4,4,4,Cơ bản,1,2,37.0
140.0,21.07861793624561,105.8109992767198,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,13.5,3,5,5,Nhà trống,1,2,57.0
205.0,10.7794790887973,106.662362194738,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,2,3,5,Đầy đủ,0,2,52.0
233.0,10.803646148393,106.66695618989,Giấy tờ khác,Chưa xác định,10.0,15.0,3,5,5,Thỏa thuận,0,2,42.5
243.5,21.069164963121,105.710580383104,Sổ hồng/Sổ đỏ,Đông Bắc,10.0,25.0,5,5,5,Thỏa thuận,1,2,26.2
628.0,20.952825493351074,107.0152522155271,Sổ hồng/Sổ đỏ,Tây Bắc,20.0,15.0,3,5,6,Nhà trống,0,2,145.0
180.0,20.954893230123,105.939765973276,Sổ hồng/Sổ đỏ,Nam,7.5,30.0,4,5,4,Nhà trống,1,2,44.0
536.0,10.7252260064987,106.713688945377,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,2,3,3,Cơ bản,0,2,175.0
200.0,10.7870839813538,106.623648212676,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,20.0,3,5,5,Nhà trống,0,2,26.0
500.0,11.9265366642001,108.441969390349,Sổ hồng/Sổ đỏ,Chưa xác định,20.0,5.0,3,7,8,Nhà trống,0,1,25.0
180.0,21.0771914734412,105.810116470248,Sổ hồng/Sổ đỏ,Chưa xác định,9.0,17.5,5,4,4,Nhà trống,1,2,85.0
230.0,20.94544351650613,107.02948876932192,Sổ hồng/Sổ đỏ,Tây Nam,15.0,12.0,4,5,6,Nhà trống,0,2,25.5
180.0,20.914629062658907,106.71389740878504,Giấy tờ khác,Chưa xác định,9.0,15.0,3,5,5,Thỏa thuận,0,2,13.9
160.0,21.0460869890351,105.915568944636,Sổ hồng/Sổ đỏ,Đông Nam,10.0,15.0,4,4,5,Đầy đủ,0,2,51.0
216.0,19.81025447415105,105.81584903701264,Sổ hồng/Sổ đỏ,Tây Bắc,9.0,20.5,3,6,5,Nhà trống,0,2,12.3
205.0,10.7249765675304,106.709811770844,Sổ hồng/Sổ đỏ,Chưa xác định,10.75,19.0,4,5,5,Nhà trống,0,2,90.0
158.0,21.0693193364521,105.879223722943,Sổ hồng/Sổ đỏ,Tây Nam,9.0,25.0,4,4,4,Đầy đủ,0,2,36.0
360.0,10.7023646971823,106.710049365382,Sổ hồng/Sổ đỏ,Đông Nam,12.0,12.0,3,3,6,Đầy đủ,0,2,31.99
133.8,20.98336173467171,105.78553159223598,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,12.0,5,5,5,Đầy đủ,0,2,31.5
276.0,20.6329036240461,106.023571885651,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,3,5,5,Đầy đủ,1,2,23.0
120.0,20.94286620313657,105.95577003457248,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,15.0,4,5,5,Thỏa thuận,0,2,16.0
100.0,20.98576391650379,105.83952457090103,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,15.0,5,10,5,Cơ bản,0,2,30.9
123.0,21.0054363409038,105.804713472761,Sổ hồng/Sổ đỏ,Chưa xác định,7.4,13.0,4,5,5,Nhà trống,1,2,49.5
131.0,10.382349798962572,107.1383248712767,Hợp đồng mua bán,Đông Nam,10.0,50.0,4,6,4,Cơ bản,0,2,21.0
100.0,10.8347768762291,106.667953547411,Giấy tờ khác,Chưa xác định,5.0,15.0,4,7,6,Thỏa thuận,0,2,19.5
202.0,21.3534821047941,105.746597557409,Sổ hồng/Sổ đỏ,Đông Nam,7.83,13.0,3,3,3,Nhà trống,0,2,18.0
194.2,20.9752922058105,105.81436920166,Giấy tờ khác,Chưa xác định,10.0,15.0,4,5,5,Đầy đủ,1,2,95.7
210.0,21.0619995061652,105.908048705221,Sổ hồng/Sổ đỏ,Chưa xác định,11.0,20.0,4,5,4,Thỏa thuận,0,2,60.0
451.0,10.8055486721613,106.778498799233,Giấy tờ khác,Chưa xác định,10.0,15.0,4,5,5,Thỏa thuận,1,2,52.0
200.0,10.836468739035,106.842730532956,Sổ hồng/Sổ đỏ,Đông Bắc,24.0,24.0,3,3,3,Nhà trống,0,2,24.5
200.0,10.742083603561609,106.69845562367055,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,16.0,4,4,5,Nhà trống,0,2,58.8
267.0,21.03471516753745,105.76690115418542,Sổ hồng/Sổ đỏ,Chưa xác định,30.0,12.0,4,5,5,Đầy đủ,0,2,105.0
141.0,20.99520828295048,105.7926933180289,Giấy tờ khác,Chưa xác định,7.0,15.0,3,5,5,Nhà trống,0,2,31.0
140.0,20.94250936586181,105.9545920918928,Sổ hồng/Sổ đỏ,Đông Nam,7.0,51.0,5,6,4,Nhà trống,0,2,27.0
180.0,20.9430007651007,105.980712491836,Sổ hồng/Sổ đỏ,Tây Bắc,9.0,13.0,5,8,5,Nhà trống,0,2,30.0
243.6,20.979922669816872,105.7552591919864,Hợp đồng mua bán,Đông Nam,22.0,32.0,4,4,5,Nhà trống,1,2,82.0
130.0,21.0445224463423,105.751807189142,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,5,4,4,Thỏa thuận,1,2,38.0
262.0,10.8241771385102,106.692458544157,Sổ hồng/Sổ đỏ,Tây Nam,10.0,15.0,5,5,4,Đầy đủ,1,2,75.0
160.0,10.729262490776218,106.68726765942344,Sổ hồng/Sổ đỏ,Nam,40.0,15.0,3,7,6,Đầy đủ,0,2,28.0
550.0,10.76861273313376,106.75631312738405,Sổ hồng/Sổ đỏ,Tây Nam,22.0,15.0,3,6,5,Thỏa thuận,0,2,88.0
255.0,20.965009183995736,107.0474391650399,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,7.5,5,5,5,Nhà trống,0,2,45.0
